composer_name,title,song_length.bars,n_notes,rating,n_views,is_best_arrangement,metadata,mxl
W. A. Mozart(Paris 30.11.1763),Menuett in D KV 7,44,368,0.0,124,False,./metadata/5/5974823.json,./mxl/0/38/QmaqiaWjuxahsy4GiTg3WNNMEhngex9Jcq448jYfkfCTyU.mxl
Mozart,Mozart - NON PIU ANDRAI,56,386,0.0,123,True,./metadata/4/4825807.json,./mxl/6/23/QmNhWdNu6G5cbqDFfUCzHqHX3rM8NDWGFppAKNQbAvLHsS.mxl
W. A. Mozart,W. A. Mozart Minuet in F Major K4.,34,253,0.0,123,False,./metadata/9/5930958.json,./mxl/14/16/QmWDrZ3X5GqTMp411D4SSe5oiVueZcVvjudHDi6TG8N1rr.mxl
W.A. Mozart,W.A. Mozart - Contredanse in A K. 15l,64,362,4.83,123,False,./metadata/8/6219486.json,./mxl/1/2/Qmb3nWh89rZ5qR7paUjp7MEF6Z4CL65Vchtm7k3S2EYr6G.mxl
W.A. MozartComposera,Mozart Piano Sonata no.16 1st movement Retrograde,146,2570,0.0,122,True,./metadata/2/6247041.json,./mxl/3/15/Qmdd7wEQnMAtPgaWX44XKftkCZ8yoNG4whAGhsaajqjjkC.mxl
W.A. Mozart,Sonate in C KV 330-2 Andante,110,1467,0.0,121,False,./metadata/3/5646136.json,./mxl/1/22/QmbGDZ94FehXeimC3oW3rxhdCW9ahAyfW17hXkH5RiXxnT.mxl
W.A. Mozart,W.A. Mozart - Minore in A minor K. 15k,36,282,4.83,117,False,./metadata/7/6219422.json,./mxl/4/12/QmeBuVqPpzPMfzif2cCpt7MZXo2YaYcUot4zrmNTn8F4JF.mxl
Mozart,Mozart - Voi che sapete,108,368,0.0,113,True,./metadata/2/5036968.json,./mxl/3/38/QmdqXtHEg2Kt2tTnr1P9GfJXPCmMAmWVMRWXnZ2icizVMm.mxl
W. A. Mozart,W. A. Mozart Minuet in F Major K1d.,40,310,0.0,106,False,./metadata/4/5847366.json,./mxl/15/12/QmXB8zjJbfJoKDSAPwYJgEVj7A3vScBaCB87xzWzG1Fc8M.mxl
W.A. Mozart,W.A. Mozart - Allegro in B K. 3,64,326,0.0,103,False,./metadata/1/6191186.json,./mxl/11/57/QmTZNZKbmjups1k5dXfBz5V65QP1FMRnfsSFpfyUwutStj.mxl
W. A. Mozart,W. A. Mozart Allegro in C Major K1b.,12,72,0.0,102,False,./metadata/2/5847357.json,./mxl/8/14/QmQCiAkXJAdetmkVPsNTgr8EdKKtJYJagMNGiYqwcUCs7E.mxl
W. A. Mozart,Allegro in F Major - K. 1c,19,128,0.0,100,False,./metadata/5/2832981.json,./mxl/7/18/QmPEXL4F86TFj1bo1EDe38bUy7uRcBaMVYbx7c9bxj84e6.mxl
Ex. 2 - b - Mozart - Sinfonia 40-IV,Fundamentos da Composicao Musical - Schoenberg Arnold - Ex. 2 - b - Mozart - Sinfonia 40-IV,10,14,0.0,100,False,./metadata/0/5897114.json,./mxl/1/4/Qmb52GG4ZRXsZ2KbF3FjdkiDMgdDbFfcNhUHkBe8fmtptH.mxl
W.A. Mozart,W.A. Mozart - Andante in G minor K. 15r,150,958,0.0,99,False,./metadata/4/6226474.json,./mxl/12/47/QmUUrLumV8VBY9xwiB3RErhvdH1htpZMcW7mX11g75ckpA.mxl
W.A. Mozart,W.A. Mozart - Andante in D K. 15o,48,800,0.0,97,False,./metadata/1/6224228.json,./mxl/3/34/QmdNnrdZKXLYZb53XcSUEeZnMBBqKHMqtysv6nRkN8kHHa.mxl
Wolfgang Amadeus Mozart & MuseScore,Musikalisches Würfelspiel,40,359,0.0,91,False,./metadata/6/4055411.json,./mxl/14/9/QmWa4UEMMEXzG8PJY1JKwBNfr4YVPhxrgmvZzboEWswLuZ.mxl
W.A. Mozart,W.A. Mozart - Contredanse in G K. 15e,32,300,0.0,90,False,./metadata/2/6204361.json,./mxl/3/51/QmdWxidrq2zjrku24dD7gY3Ry3nECLCyaFurJ5DEWmzGgF.mxl
W.A. Mozart,W.A. Mozart - Movement to a Piano Sonata in B-flat K. 15aa,94,760,0.0,89,False,./metadata/3/6234421.json,./mxl/3/49/QmdVqUuHxLdEudWTNDqCV5WCyLCkaXML1Z9iNDRhdFwxsx.mxl
W. A. Mozart,Sonata n. 16 in C Major,146,2564,0.0,89,False,./metadata/8/5954948.json,./mxl/3/42/QmdsrtfMBtzcCsj5FkYGaeHfjfVJPGzWbfDJgfWdcnYrAN.mxl
